post_id,user_id,platform,content_type,post_datetime,likes,comments_count,shares,views,hashtag_count,has_paid_promotion,post_duration_sec,caption_length,location_tagged,engagement_rate,hour,day
POST000001,USR04620,Instagram,Story,2023-06-20 06:00:00,3.0,0.0,0.0,26.0,16.0,False,,1515,True,0.11538461538461539,6,Tuesday
POST000002,USR04999,Facebook,Photo,2023-01-02 22:00:00,838.0,64.0,17.0,23518.0,10.0,False,,1962,True,0.03907645207925844,22,Monday
POST000003,USR03752,Instagram,Live,2023-02-24 09:00:00,1.0,0.0,0.0,71.0,6.0,False,2964.0,1776,True,0.014084507042253521,9,Friday
POST000004,USR04310,Snapchat,Blog,2022-06-14 01:00:00,4078.0,330.0,280.0,77957.0,8.0,False,,1573,False,0.06013571584334954,1,Tuesday
POST000005,USR01496,Snapchat,Blog,2023-07-16 15:00:00,36.0,3.0,2.0,185.0,4.0,False,,747,False,0.22162162162162163,15,Sunday
POST000006,USR01091,LinkedIn,Meme,2022-08-01 22:00:00,135.0,17.0,7.0,5967.0,6.0,False,,54,True,0.026646556058320763,22,Monday
POST000007,USR00169,Twitter/X,Video,2023-05-08 10:00:00,159.0,20.0,11.0,4106.0,0.0,True,1306.0,1272,True,0.046273745737944474,10,Monday
POST000008,USR02200,Instagram,Story,2022-08-29 00:00:00,8.0,0.0,1.0,60.0,6.0,False,,1888,False,0.15,0,Monday
POST000009,USR04570,LinkedIn,Photo,2022-01-14 21:00:00,36.0,3.0,2.0,1234.0,1.0,True,,1974,True,0.03322528363047002,21,Friday
POST000010,USR02245,Instagram,Photo,2022-04-02 03:00:00,45.0,2.0,1.0,1796.0,29.0,False,,980,False,0.026726057906458798,3,Saturday
POST000011,USR04109,Facebook,Meme,2023-08-11 21:00:00,16.0,0.0,0.0,462.0,22.0,False,,785,True,0.03463203463203463,21,Friday
POST000012,USR00741,Pinterest,Video,2023-05-21 04:00:00,435.0,11.0,31.0,4651.0,30.0,True,1102.0,491,False,0.10255858955063427,4,Sunday
POST000013,USR02934,Snapchat,Story,2022-04-03 16:00:00,5.0,0.0,0.0,231.0,5.0,False,,695,False,0.021645021645021644,16,Sunday
POST000014,USR04054,Instagram,Meme,2022-03-18 23:00:00,81.0,11.0,3.0,1400.0,17.0,False,,1804,True,0.06785714285714285,23,Friday
POST000015,USR00162,TikTok,Meme,2022-04-14 08:00:00,2.0,0.0,0.0,65.0,8.0,False,,1012,False,0.03076923076923077,8,Thursday
POST000016,USR00608,Snapchat,Meme,2023-10-22 07:00:00,88.0,2.0,5.0,3416.0,20.0,False,,41,False,0.02781030444964871,7,Sunday
POST000017,USR00728,Twitter/X,Story,2023-04-13 09:00:00,77.0,2.0,4.0,1978.0,20.0,False,,420,False,0.04196157735085945,9,Thursday
POST000018,USR03785,Twitter/X,Reel/Short,2022-09-28 14:00:00,2478.0,240.0,179.0,105973.0,26.0,False,130.0,578,False,0.02733715191605409,14,Wednesday
POST000019,USR00643,YouTube,Reel/Short,2022-02-21 03:00:00,16.0,2.0,1.0,445.0,27.0,True,2818.0,316,True,0.04269662921348315,3,Monday
POST000020,USR03786,Snapchat,Blog,2022-06-28 01:00:00,39.0,2.0,1.0,584.0,17.0,True,,545,False,0.07191780821917808,1,Tuesday
POST000021,USR04899,Instagram,Blog,2022-10-25 11:00:00,34.0,3.0,1.0,1238.0,8.0,False,,1942,True,0.030694668820678513,11,Tuesday
POST000022,USR03945,Twitter/X,Text,2023-11-25 10:00:00,1576.0,213.0,90.0,44185.0,5.0,True,,1817,False,0.042525744030779675,10,Saturday
POST000023,USR04012,Snapchat,Live,2023-03-13 23:00:00,17.0,0.0,0.0,657.0,21.0,True,1601.0,322,False,0.0258751902587519,23,Monday
POST000024,USR04044,Facebook,Text,2022-04-29 03:00:00,86.0,3.0,1.0,2332.0,19.0,False,,681,False,0.038593481989708404,3,Friday
POST000025,USR01092,Instagram,Blog,2022-02-16 00:00:00,30.0,2.0,2.0,1356.0,21.0,False,,588,False,0.025073746312684365,0,Wednesday
POST000026,USR02289,Snapchat,Photo,2022-05-22 21:00:00,40.0,3.0,0.0,2006.0,9.0,False,,1371,False,0.02143569292123629,21,Sunday
POST000027,USR03528,Facebook,Photo,2023-10-25 05:00:00,56.0,2.0,4.0,1909.0,6.0,False,,777,True,0.03247773703509691,5,Wednesday
POST000028,USR01023,Pinterest,Story,2022-12-03 11:00:00,491.0,43.0,29.0,20009.0,15.0,False,,1451,True,0.028137338197810984,11,Saturday
POST000029,USR01735,TikTok,Story,2023-03-25 19:00:00,1000.0,136.0,41.0,7208.0,22.0,False,,2052,False,0.16329078801331853,19,Saturday
POST000030,USR03767,Pinterest,Live,2022-10-02 23:00:00,3.0,0.0,0.0,42.0,26.0,,1542.0,259,False,0.07142857142857142,23,Sunday
POST000031,USR00154,Twitter/X,Blog,2022-04-06 11:00:00,260.0,5.0,10.0,2386.0,0.0,False,,261,,0.11525565800502934,11,Wednesday
POST000032,USR04278,Snapchat,Live,2022-12-17 05:00:00,672.0,63.0,49.0,20925.0,15.0,False,2718.0,1006,True,0.03746714456391876,5,Saturday
POST000033,USR01208,Pinterest,Reel/Short,2022-04-27 12:00:00,108.0,4.0,6.0,1775.0,28.0,False,489.0,1618,True,0.06647887323943662,12,Wednesday
POST000034,USR02616,LinkedIn,Photo,2023-02-14 14:00:00,583.0,60.0,17.0,13208.0,22.0,False,,1447,False,0.04996971532404603,14,Tuesday
POST000035,USR04661,YouTube,Meme,2022-10-06 12:00:00,4.0,0.0,0.0,113.0,3.0,False,,683,False,0.035398230088495575,12,Thursday
POST000036,USR01981,Instagram,Blog,2023-12-08 15:00:00,151.0,6.0,8.0,4244.0,20.0,False,,1922,False,0.03887841658812441,15,Friday
POST000037,USR04642,Facebook,Blog,2023-03-08 20:00:00,663.0,94.0,15.0,29874.0,19.0,False,,1399,False,0.025841869183905738,20,Wednesday
POST000038,USR02890,Snapchat,Photo,2022-06-20 03:00:00,15.0,1.0,1.0,316.0,19.0,False,,1465,False,0.05379746835443038,3,Monday
POST000039,USR02610,Snapchat,Story,2022-05-16 22:00:00,4.0,0.0,0.0,61.0,25.0,False,,390,True,0.06557377049180328,22,Monday
POST000040,USR00709,Facebook,Text,2022-03-02 05:00:00,536.0,65.0,29.0,5851.0,10.0,True,,1936,False,0.10767390189711161,5,Wednesday
POST000041,USR04619,YouTube,Story,2022-04-17 13:00:00,23.0,1.0,1.0,388.0,13.0,False,,458,True,0.06443298969072164,13,Sunday
POST000042,USR03158,LinkedIn,Meme,2023-08-28 15:00:00,17.0,2.0,1.0,596.0,17.0,False,,193,False,0.03355704697986577,15,Monday
POST000043,USR03218,Snapchat,Reel/Short,2023-08-06 21:00:00,1.0,0.0,0.0,56.0,5.0,False,1237.0,2122,True,0.017857142857142856,21,Sunday
POST000044,USR04050,Instagram,Text,2023-03-25 05:00:00,20.0,0.0,1.0,256.0,7.0,False,,1209,,0.08203125,5,Saturday
POST000045,USR04767,Twitter/X,Text,2023-09-18 12:00:00,14.0,1.0,1.0,645.0,17.0,False,,1003,False,0.024806201550387597,12,Monday
POST000046,USR02366,LinkedIn,Reel/Short,2023-01-03 19:00:00,1.0,0.0,0.0,13.0,5.0,False,3458.0,1136,True,0.07692307692307693,19,Tuesday
POST000047,USR02583,Pinterest,Reel/Short,2022-01-30 21:00:00,17.0,1.0,0.0,365.0,28.0,True,3129.0,1917,False,0.049315068493150684,21,Sunday
POST000048,USR01384,Instagram,Text,2022-05-14 15:00:00,584.0,45.0,8.0,14931.0,9.0,False,,645,False,0.0426629160806376,15,Saturday
POST000049,USR03646,Instagram,Story,2023-05-15 03:00:00,108.0,1.0,7.0,830.0,16.0,False,,1932,True,0.13975903614457832,3,Monday
