comment_id,post_id,user_id,comment_datetime,sentiment_score,is_toxic,is_reply,likes_on_comment,contains_emoji,comment_length_chars,language
CMT0000001,POST014515,USR04031,2022-09-13 23:00:00,0.173,False,False,4,True,298,Arabic
CMT0000002,POST026301,USR04185,2022-01-20 19:00:00,0.186,False,True,38,True,882,English
CMT0000003,POST020930,USR04805,2023-06-03 16:00:00,0.768,False,False,83,True,387,Portuguese
CMT0000004,POST008938,USR00324,2023-09-07 01:00:00,-0.662,True,False,6,False,971,English
CMT0000005,POST010899,USR00259,2023-07-18 02:00:00,0.583,False,True,30,False,950,Spanish
CMT0000006,POST005849,USR00322,2022-12-01 10:00:00,0.668,False,False,7,True,904,English
CMT0000007,POST029751,USR03049,2022-02-23 21:00:00,-0.44,True,True,7,False,815,Portuguese
CMT0000008,POST028299,USR02302,2023-01-24 23:00:00,-0.722,False,True,60,True,457,Portuguese
CMT0000009,POST001544,USR04899,2022-10-28 01:00:00,0.214,False,True,3,True,515,English
CMT0000010,POST023771,USR04907,2022-07-26 06:00:00,0.455,False,False,11,True,801,English
CMT0000011,POST011404,USR04576,2023-11-08 23:00:00,0.523,False,True,1,True,599,English
CMT0000012,POST023065,USR01702,2022-12-30 20:00:00,0.49,False,False,3,False,672,Spanish
CMT0000013,POST001679,USR03691,2023-01-28 21:00:00,0.834,False,True,8,True,210,English
CMT0000014,POST001129,USR01852,2022-06-17 13:00:00,0.111,False,True,0,True,981,German
CMT0000015,POST019304,USR04649,2022-10-16 21:00:00,0.512,False,False,36,True,256,English
CMT0000016,POST018895,USR03256,2023-10-21 01:00:00,-0.337,False,False,6,False,296,Spanish
CMT0000017,POST002621,USR00795,2023-06-30 11:00:00,-0.353,False,True,2,False,176,German
CMT0000018,POST002191,USR00118,2023-12-21 18:00:00,0.24,False,True,13,True,859,Spanish
CMT0000019,POST019916,USR00750,2022-12-15 10:00:00,0.883,False,False,2,True,143,English
CMT0000020,POST020600,USR00250,2022-04-03 09:00:00,-0.385,False,False,3,True,572,Japanese
CMT0000021,POST023716,USR03849,2023-09-07 11:00:00,0.61,False,False,55,True,70,English
CMT0000022,POST015123,USR03978,2023-04-11 04:00:00,0.896,False,False,49,False,410,Spanish
CMT0000023,POST003826,USR04572,2023-10-17 21:00:00,-0.645,True,False,14,False,557,German
