session_id,user_id,session_date,platform,daily_usage_minutes,device_type,notifications_received,sessions_per_day,scroll_distance_meters,videos_watched,stories_viewed,ads_clicked,time_of_day
SESS000001,USR03206,2023-09-10,TikTok,39.1,Tablet,152.0,7,58.83,41,31,14,Afternoon
SESS000002,USR03299,2023-04-17,Twitter/X,15.2,Tablet,21.0,23,13.5,67,4,15,Afternoon
SESS000003,USR04752,2023-03-06,LinkedIn,54.7,Tablet,7.0,24,27.74,92,17,0,Morning
SESS000004,USR00501,2023-01-31,LinkedIn,47.5,Desktop,159.0,22,15.98,73,38,12,Afternoon
SESS000005,USR00080,2023-01-02,Snapchat,40.0,Tablet,164.0,24,101.72,52,9,2,Morning
SESS000006,USR03861,2023-10-26,YouTube,73.1,Mobile,167.0,21,4.88,65,17,16,Evening
SESS000007,USR03901,2023-07-31,Instagram,10.7,Tablet,134.0,28,1.78,77,35,0,Afternoon
SESS000008,USR01369,2023-01-18,Facebook,77.6,Tablet,50.0,3,5.96,9,6,7,Morning
SESS000009,USR03252,2023-03-01,YouTube,8.8,Tablet,97.0,14,52.56,6,27,15,Morning
SESS000010,USR02213,2023-07-10,YouTube,61.5,Desktop,59.0,29,37.2,94,11,12,Morning
SESS000011,USR00583,2023-04-11,LinkedIn,18.5,Tablet,168.0,13,17.57,15,47,19,Late Night
SESS000012,USR00760,2023-06-21,Pinterest,25.0,Tablet,138.0,18,56.79,92,20,8,Morning
SESS000013,USR03672,2023-04-14,Instagram,,Mobile,,27,,73,38,14,Afternoon
SESS000014,USR02645,2023-11-19,Pinterest,16.5,Tablet,179.0,15,26.3,63,46,0,Evening
SESS000015,USR04808,2023-01-15,TikTok,50.5,Desktop,192.0,10,229.11,96,22,2,Morning
SESS000016,USR01461,2023-07-03,Instagram,53.8,Tablet,168.0,27,146.52,97,47,18,Late Night
SESS000017,USR03104,2023-04-23,LinkedIn,45.1,Mobile,78.0,27,39.1,8,25,4,Morning
SESS000018,USR03338,2023-04-02,Snapchat,37.9,Desktop,64.0,29,21.83,59,33,3,Morning
SESS000019,USR00999,2023-06-26,Facebook,34.3,Desktop,186.0,8,81.54,43,31,8,Late Night
