survey_id,user_id,survey_date,anxiety_score,depression_score,self_esteem_score,loneliness_score,fomo_score,life_satisfaction_score,sleep_quality_score,productivity_impact,social_comparison_freq,cyberbullying_experienced,feel_addicted,digital_detox_attempts,primary_emotion_after_use,hours_before_bed,avg_usage,usage_bucket
SUR00001,USR03596,2023-06-22,5.0,5.0,3.0,5.0,4.0,3.0,7.0,Neutral,Often,False,False,1.0,Inspired,1.9,109.73333333333333,1-2h
SUR00002,USR02322,2023-11-07,10.0,,3.0,1.0,3.0,5.0,3.0,Negative,Sometimes,False,False,1.0,Excited,3.3,70.7,1-2h
SUR00003,USR01652,2023-11-22,4.0,7.0,5.0,4.0,6.0,5.0,1.0,Negative,Sometimes,True,False,2.0,Neutral,0.7,42.65,<1h
SUR00004,USR00225,2023-09-19,5.0,4.0,1.0,7.0,7.0,3.0,9.0,Neutral,Rarely,True,True,5.0,Neutral,2.0,97.14999999999999,1-2h
SUR00005,USR04627,2023-11-10,10.0,7.0,3.0,4.0,3.0,5.0,5.0,Negative,Sometimes,False,False,7.0,Neutral,3.6,133.25,2-4h
SUR00006,USR03755,2023-07-17,10.0,5.0,7.0,3.0,5.0,5.0,4.0,Neutral,Sometimes,False,False,5.0,Neutral,2.9,121.725,2-4h
SUR00007,USR03678,2023-11-27,9.0,7.0,7.0,1.0,6.0,4.0,6.0,Very Negative,Sometimes,,True,9.0,Neutral,2.8,38.94,<1h
SUR00008,USR00777,2023-08-07,3.0,1.0,7.0,4.0,4.0,,6.0,Very Positive,Sometimes,False,False,10.0,Anxious,2.0,36.7,<1h
SUR00009,USR03851,2023-09-04,3.0,5.0,5.0,8.0,5.0,4.0,8.0,Positive,Often,False,False,1.0,Neutral,3.0,86.6,1-2h
SUR00010,USR04238,2023-07-09,9.0,6.0,3.0,3.0,6.0,5.0,6.0,Neutral,,False,True,3.0,Motivated,3.6,32.5,<1h
SUR00011,USR04457,2023-08-07,8.0,4.0,5.0,5.0,7.0,6.0,6.0,Negative,Sometimes,True,False,9.0,Neutral,2.1,116.24000000000001,1-2h
SUR00012,USR02087,2023-06-09,9.0,2.0,6.0,1.0,3.0,5.0,6.0,Neutral,Sometimes,False,False,0.0,Inspired,2.5,29.75,<1h
SUR00013,USR04853,2023-09-02,7.0,4.0,7.0,4.0,10.0,9.0,8.0,Positive,Always,False,False,0.0,Anxious,2.6,33.86,<1h
SUR00014,USR02978,2023-09-01,5.0,4.0,5.0,5.0,8.0,,5.0,Neutral,Rarely,False,False,9.0,Inspired,3.7,94.22500000000001,1-2h
SUR00015,USR01540,2023-10-08,8.0,6.0,7.0,3.0,5.0,6.0,2.0,Neutral,Sometimes,True,False,1.0,Happy,2.3,74.32000000000001,1-2h
SUR00016,USR02202,2023-10-23,3.0,6.0,7.0,4.0,6.0,8.0,6.0,Positive,Rarely,True,True,3.0,Inspired,0.5,84.13333333333334,1-2h
SUR00017,USR03317,2023-09-28,5.0,7.0,4.0,6.0,7.0,4.0,1.0,Negative,Often,False,False,8.0,Depressed,2.4,43.599999999999994,<1h
SUR00018,USR02889,2023-07-15,4.0,4.0,1.0,8.0,7.0,6.0,6.0,Negative,Always,False,False,10.0,Anxious,3.7,115.64285714285714,1-2h
SUR00019,USR03805,2023-07-30,,4.0,8.0,2.0,9.0,5.0,4.0,Negative,Often,False,False,2.0,Excited,1.9,68.25,1-2h
SUR00020,USR00293,2023-09-01,2.0,3.0,5.0,5.0,7.0,5.0,9.0,Very Negative,Sometimes,False,,0.0,Happy,3.0,183.94,2-4h
SUR00021,USR00017,2023-10-31,4.0,3.0,7.0,5.0,4.0,9.0,6.0,Positive,,False,False,4.0,Inspired,2.0,71.16666666666667,1-2h
SUR00022,USR01385,2023-06-17,1.0,8.0,7.0,5.0,7.0,3.0,5.0,Negative,,False,True,3.0,Depressed,1.3,114.3,1-2h
SUR00023,USR04093,2023-10-24,7.0,,4.0,4.0,6.0,3.0,4.0,Neutral,Sometimes,,True,9.0,Happy,0.1,111.86666666666667,1-2h
SUR00024,USR04368,2023-11-18,7.0,6.0,7.0,6.0,5.0,6.0,8.0,Negative,Often,False,False,6.0,Envious,2.2,126.1,2-4h
SUR00025,USR03243,2023-11-07,5.0,7.0,,3.0,8.0,5.0,6.0,Neutral,Rarely,False,True,9.0,,1.9,66.35,1-2h
SUR00026,USR02228,2023-10-10,4.0,4.0,1.0,7.0,7.0,5.0,6.0,Neutral,,False,False,0.0,Depressed,2.7,77.2,1-2h
SUR00027,USR00486,2023-10-11,1.0,,7.0,4.0,4.0,4.0,5.0,Negative,Often,False,False,2.0,Depressed,1.1,177.75,2-4h
SUR00028,USR03151,2023-08-20,2.0,2.0,7.0,6.0,6.0,7.0,9.0,Neutral,Rarely,True,True,8.0,Motivated,1.6,49.616666666666674,<1h
SUR00029,USR02261,2023-08-31,6.0,3.0,9.0,5.0,4.0,8.0,3.0,Very Negative,Sometimes,False,False,9.0,Neutral,3.0,84.5,1-2h
SUR00030,USR03428,2023-07-11,6.0,2.0,7.0,7.0,5.0,9.0,,Neutral,Sometimes,False,True,5.0,Anxious,3.2,110.2,1-2h
SUR00031,USR01534,2023-07-14,5.0,,2.0,4.0,5.0,10.0,1.0,Neutral,Always,False,False,0.0,Inspired,3.4,117.1,1-2h
SUR00032,USR01157,2023-11-01,4.0,8.0,2.0,3.0,9.0,5.0,4.0,Positive,Always,False,False,7.0,Neutral,2.8,84.63333333333334,1-2h
SUR00033,USR04131,2023-07-10,5.0,1.0,7.0,7.0,5.0,6.0,9.0,Very Positive,Rarely,True,True,3.0,Neutral,2.5,55.325,<1h
SUR00034,USR00384,2023-11-04,2.0,3.0,6.0,3.0,5.0,7.0,6.0,Negative,Rarely,False,True,10.0,,2.9,88.76666666666667,1-2h
SUR00035,USR01570,2023-09-21,10.0,4.0,9.0,4.0,7.0,5.0,3.0,Very Positive,Sometimes,False,True,4.0,Motivated,0.8,112.5,1-2h
SUR00036,USR03671,2023-10-02,7.0,3.0,4.0,2.0,7.0,,7.0,Negative,Often,False,False,9.0,Happy,0.4,128.55,2-4h
SUR00037,USR02375,2023-06-09,9.0,7.0,4.0,5.0,6.0,7.0,6.0,Positive,Always,False,False,4.0,Motivated,3.0,70.425,1-2h
SUR00038,USR01186,2023-07-17,5.0,2.0,8.0,1.0,,10.0,4.0,Negative,Often,False,True,9.0,Excited,1.2,72.56666666666666,1-2h
SUR00039,USR03747,2023-09-02,4.0,4.0,1.0,,7.0,5.0,4.0,Positive,Often,False,True,1.0,Anxious,1.8,59.725,<1h
SUR00040,USR00810,2023-11-09,6.0,3.0,2.0,2.0,5.0,7.0,2.0,Neutral,Often,False,False,0.0,Neutral,1.5,58.13333333333333,<1h
SUR00041,USR00237,2023-10-28,1.0,2.0,2.0,3.0,8.0,4.0,7.0,Positive,Rarely,True,False,6.0,Excited,3.6,82.45,1-2h
SUR00042,USR02951,2023-10-20,,1.0,4.0,6.0,5.0,4.0,3.0,Negative,Sometimes,False,True,3.0,Happy,3.3,73.9,1-2h
SUR00043,USR00231,2023-08-12,4.0,5.0,6.0,5.0,7.0,5.0,3.0,Negative,Sometimes,True,True,3.0,Neutral,1.0,107.86666666666667,1-2h
SUR00044,USR00813,2023-08-30,2.0,5.0,8.0,5.0,8.0,8.0,6.0,Neutral,Sometimes,True,True,7.0,Depressed,3.8,51.56666666666666,<1h
SUR00045,USR00781,2023-10-22,5.0,7.0,5.0,6.0,9.0,3.0,8.0,Neutral,Sometimes,False,True,0.0,Inspired,1.8,54.85,<1h
SUR00046,USR04763,2023-08-21,5.0,5.0,5.0,6.0,7.0,4.0,10.0,Neutral,Always,False,False,8.0,Happy,3.3,48.800000000000004,<1h
SUR00047,USR02166,2023-08-20,3.0,9.0,6.0,5.0,5.0,6.0,9.0,Positive,Always,False,False,9.0,Anxious,0.1,75.64285714285714,1-2h
SUR00048,USR02638,2023-08-12,3.0,6.0,8.0,7.0,6.0,7.0,7.0,Positive,Often,True,True,4.0,Motivated,0.7,166.6,2-4h
SUR00049,USR04002,2023-07-05,8.0,3.0,6.0,9.0,6.0,7.0,3.0,Positive,Often,False,False,8.0,Neutral,0.6,76.925,1-2h
SUR00050,USR00407,2023-07-11,3.0,4.0,5.0,4.0,7.0,7.0,4.0,Positive,Sometimes,False,False,8.0,Anxious,3.2,62.620000000000005,1-2h
SUR00051,USR03000,2023-06-10,5.0,7.0,6.0,8.0,6.0,6.0,4.0,Very Negative,Rarely,False,True,6.0,Neutral,0.7,103.67999999999999,1-2h
SUR00052,USR03134,2023-08-22,3.0,2.0,,2.0,,6.0,5.0,Neutral,Sometimes,False,False,3.0,Happy,1.5,70.83333333333333,1-2h
SUR00053,USR04633,2023-08-15,3.0,7.0,6.0,2.0,5.0,8.0,9.0,Negative,Sometimes,False,False,7.0,Happy,2.0,85.01666666666667,1-2h
SUR00054,USR04162,2023-10-07,5.0,4.0,8.0,4.0,9.0,7.0,4.0,Positive,Often,False,False,9.0,Depressed,2.0,79.83333333333333,1-2h
SUR00055,USR01412,2023-09-24,4.0,5.0,6.0,3.0,,7.0,4.0,Very Negative,Often,False,True,5.0,Envious,1.4,66.9,1-2h
SUR00056,USR02823,2023-07-16,,5.0,7.0,,6.0,4.0,5.0,Negative,Often,False,True,3.0,Motivated,0.9,55.150000000000006,<1h
SUR00057,USR03633,2023-10-26,8.0,1.0,2.0,8.0,5.0,6.0,4.0,Very Negative,Sometimes,False,False,8.0,Envious,1.3,101.60000000000001,1-2h
SUR00058,USR00415,2023-06-29,2.0,8.0,7.0,,1.0,7.0,4.0,Positive,Rarely,False,False,4.0,Neutral,1.2,32.95,<1h
SUR00059,USR04464,2023-07-18,10.0,1.0,8.0,2.0,8.0,7.0,9.0,Negative,Always,,True,0.0,Envious,2.3,90.02000000000001,1-2h
SUR00060,USR03580,2023-11-01,6.0,5.0,1.0,3.0,7.0,6.0,5.0,Positive,Often,False,False,9.0,Neutral,3.4,52.3,<1h
SUR00061,USR04145,2023-10-08,4.0,7.0,4.0,6.0,7.0,7.0,5.0,Negative,Often,False,False,3.0,Motivated,1.0,77.28,1-2h
SUR00062,USR02354,2023-11-16,5.0,5.0,5.0,2.0,5.0,4.0,4.0,Negative,Sometimes,False,False,9.0,Envious,3.4,36.55,<1h
SUR00063,USR01648,2023-11-24,1.0,3.0,6.0,8.0,6.0,5.0,5.0,Negative,Often,False,True,10.0,Anxious,3.5,177.46666666666667,2-4h
SUR00064,USR04730,2023-11-22,4.0,4.0,5.0,6.0,7.0,6.0,10.0,Negative,Sometimes,False,False,9.0,Excited,1.4,23.3,<1h
SUR00065,USR01838,2023-10-23,5.0,5.0,4.0,1.0,3.0,4.0,8.0,Negative,Always,False,True,5.0,Anxious,3.7,123.2,2-4h
SUR00066,USR00773,2023-09-11,5.0,3.0,4.0,,10.0,6.0,5.0,Very Negative,Sometimes,False,True,0.0,Depressed,0.4,123.89999999999999,2-4h
SUR00067,USR03706,2023-09-23,8.0,5.0,4.0,8.0,5.0,7.0,5.0,Neutral,Sometimes,False,True,9.0,Depressed,1.3,108.7,1-2h
SUR00068,USR00416,2023-08-01,3.0,9.0,8.0,5.0,5.0,9.0,3.0,Very Negative,Always,False,True,4.0,Neutral,3.1,56.86666666666667,<1h
SUR00069,USR02097,2023-08-03,8.0,3.0,6.0,1.0,2.0,7.0,8.0,Negative,Sometimes,False,False,0.0,Anxious,3.4,,
SUR00070,USR02581,2023-11-14,8.0,4.0,7.0,7.0,6.0,8.0,6.0,Positive,Sometimes,False,False,1.0,Neutral,1.7,72.46666666666665,1-2h
SUR00071,USR02779,2023-09-02,4.0,4.0,4.0,8.0,7.0,3.0,3.0,Positive,Often,False,True,3.0,Depressed,3.2,46.366666666666674,<1h
SUR00072,USR03337,2023-11-21,8.0,3.0,5.0,5.0,7.0,4.0,4.0,Very Negative,Sometimes,False,False,2.0,Envious,1.2,200.26000000000002,2-4h
SUR00073,USR00945,2023-11-23,3.0,7.0,4.0,5.0,6.0,9.0,5.0,Positive,Always,False,False,7.0,Happy,0.3,91.16666666666667,1-2h
SUR00074,USR01090,2023-07-31,5.0,1.0,6.0,8.0,8.0,4.0,5.0,Very Negative,Rarely,False,False,10.0,Excited,2.6,52.660000000000004,<1h
SUR00075,USR03117,2023-09-25,9.0,1.0,1.0,4.0,3.0,4.0,10.0,Neutral,Rarely,True,False,7.0,Neutral,0.1,44.67999999999999,<1h
SUR00076,USR02879,2023-06-08,5.0,5.0,4.0,5.0,6.0,4.0,7.0,Neutral,Never,True,False,3.0,Depressed,2.3,46.575,<1h
SUR00077,USR02030,2023-11-09,8.0,8.0,1.0,1.0,5.0,10.0,8.0,Very Negative,Always,False,True,8.0,Happy,2.5,88.03,1-2h
SUR00078,USR02174,2023-09-18,6.0,8.0,5.0,3.0,6.0,7.0,5.0,Negative,Never,False,False,5.0,Excited,3.5,37.574999999999996,<1h
SUR00079,USR04400,2023-07-26,5.0,3.0,5.0,4.0,4.0,9.0,7.0,Very Negative,Often,False,False,6.0,Anxious,0.3,62.971428571428575,1-2h
SUR00080,USR01472,2023-07-08,4.0,4.0,5.0,1.0,8.0,7.0,3.0,Positive,,False,True,5.0,Excited,3.9,71.05000000000001,1-2h
SUR00081,USR01477,2023-07-23,8.0,2.0,4.0,6.0,5.0,8.0,4.0,Negative,Often,True,False,3.0,Motivated,1.3,85.02000000000001,1-2h
SUR00082,USR04485,2023-06-14,4.0,3.0,3.0,4.0,6.0,6.0,6.0,Positive,,False,True,5.0,Depressed,1.0,69.14,1-2h
SUR00083,USR00752,2023-06-01,7.0,5.0,8.0,7.0,5.0,7.0,5.0,Neutral,,False,,7.0,Envious,1.6,54.05,<1h
SUR00084,USR00583,2023-11-08,6.0,7.0,7.0,3.0,3.0,8.0,5.0,Neutral,Often,False,False,2.0,Envious,1.0,67.34,1-2h
SUR00085,USR01408,2023-06-20,7.0,5.0,3.0,8.0,7.0,5.0,3.0,Negative,Often,False,True,2.0,Envious,0.4,36.68,<1h
SUR00086,USR00456,2023-09-21,8.0,6.0,9.0,7.0,5.0,5.0,2.0,Positive,Often,False,False,9.0,Motivated,0.6,40.8,<1h
SUR00087,USR04216,2023-06-22,6.0,4.0,7.0,6.0,4.0,7.0,6.0,Negative,Sometimes,True,True,4.0,Excited,0.3,48.7,<1h
SUR00088,USR03516,2023-11-03,4.0,6.0,5.0,7.0,5.0,4.0,5.0,Neutral,Sometimes,False,False,9.0,Depressed,0.8,50.61666666666667,<1h
SUR00089,USR03376,2023-08-30,8.0,5.0,6.0,6.0,9.0,6.0,5.0,Negative,Often,,False,5.0,Motivated,0.3,99.45555555555555,1-2h
SUR00090,USR03810,2023-08-31,5.0,3.0,3.0,1.0,7.0,4.0,5.0,Very Positive,Sometimes,False,True,9.0,Neutral,2.6,36.35,<1h
SUR00091,USR00490,2023-10-01,5.0,6.0,4.0,4.0,6.0,7.0,6.0,Positive,Often,False,False,8.0,Envious,0.4,91.38,1-2h
SUR00092,USR02659,2023-09-19,4.0,5.0,5.0,5.0,5.0,6.0,9.0,Neutral,Never,False,False,8.0,Depressed,3.2,118.89999999999999,1-2h
SUR00093,USR03324,2023-07-19,9.0,3.0,5.0,4.0,2.0,6.0,4.0,Negative,Rarely,False,False,1.0,Happy,2.9,75.18333333333334,1-2h
SUR00094,USR01566,2023-07-04,6.0,1.0,3.0,2.0,5.0,8.0,2.0,Negative,Often,False,False,10.0,Inspired,0.8,64.4,1-2h
SUR00095,USR02180,2023-10-31,7.0,,5.0,1.0,8.0,5.0,3.0,Very Negative,Often,False,True,1.0,Happy,2.2,50.13333333333333,<1h
SUR00096,USR03013,2023-09-04,9.0,5.0,4.0,2.0,4.0,9.0,7.0,Positive,Often,False,False,5.0,Depressed,0.5,87.125,1-2h
SUR00097,USR01209,2023-11-14,5.0,6.0,8.0,5.0,7.0,,2.0,Neutral,Often,False,True,7.0,Inspired,3.1,65.6,1-2h
SUR00098,USR02047,2023-07-01,3.0,5.0,5.0,6.0,6.0,10.0,3.0,,Sometimes,True,True,10.0,Depressed,0.9,32.63333333333333,<1h
SUR00099,USR00443,2023-09-09,6.0,3.0,3.0,1.0,4.0,6.0,6.0,Very Negative,Always,False,False,8.0,Envious,1.9,45.15,<1h
SUR00100,USR00166,2023-09-14,8.0,2.0,5.0,5.0,5.0,6.0,4.0,Positive,Sometimes,False,False,6.0,,0.1,73.88,1-2h
SUR00101,USR01278,2023-07-03,4.0,2.0,4.0,4.0,7.0,2.0,5.0,Neutral,Rarely,False,False,4.0,Happy,3.6,88.16666666666667,1-2h
SUR00102,USR03096,2023-06-19,6.0,4.0,7.0,3.0,9.0,6.0,4.0,Neutral,Often,False,True,3.0,Happy,2.5,58.628571428571426,<1h
SUR00103,USR04824,2023-08-29,4.0,5.0,8.0,8.0,9.0,7.0,4.0,Positive,Sometimes,False,True,5.0,Neutral,2.4,45.300000000000004,<1h
SUR00104,USR04343,2023-11-24,5.0,8.0,8.0,6.0,5.0,4.0,8.0,Neutral,Sometimes,False,True,5.0,Depressed,0.7,44.28,<1h
SUR00105,USR04334,2023-09-17,5.0,6.0,4.0,7.0,8.0,8.0,5.0,Neutral,Sometimes,True,False,10.0,Envious,2.3,126.92,2-4h
